BABA,Date,Close,Monthly Returns_BABA,,,BTC,Date,Close,Monthly Returns_BTC,,,VTI,Date,Close,Monthly Returns_VTI,,,HAL,Date,Close,Monthly Returns_HAL,,,GGE,Date,Close,Monthly Returns_GGE,,,AMZN,Date,Close,Monthly Returns_AMZN
,9/1/2017,4338.709961,0.490857873,,,,9/1/2017,48.067501,0.149716521,,,,9/1/2017,129.520004,0.021695475,,,,9/1/2017,46.029999,-0.071475061,,,,9/1/2017,2.66,-0.067669173,,,,9/1/2017,48.067501,0.149716521
,10/1/2017,6468.399902,0.582091362,,,,10/1/2017,55.264,0.064662384,,,,10/1/2017,132.330002,0.030302985,,,,10/1/2017,42.740002,-0.022461464,,,,10/1/2017,2.48,0.209677419,,,,10/1/2017,55.264,0.064662384
,11/1/2017,10233.59961,0.383325607,,,,11/1/2017,58.837502,-0.006186581,,,,11/1/2017,136.339996,0.00667452,,,,11/1/2017,41.779999,0.169698424,,,,11/1/2017,3,-0.18,,,,11/1/2017,58.837502,-0.006186581
,12/1/2017,14156.40039,-0.277987389,,,,12/1/2017,58.473499,0.240638977,,,,12/1/2017,137.25,0.052313246,,,,12/1/2017,48.869999,0.098833683,,,,12/1/2017,2.46,0.37398374,,,,12/1/2017,58.473499,0.240638977
,1/1/2018,10221.09961,0.017297628,,,,1/1/2018,72.544502,0.042429073,,,,1/1/2018,144.429993,-0.037596021,,,,1/1/2018,53.700001,-0.135568024,,,,1/1/2018,3.38,-0.201183432,,,,1/1/2018,72.544502,0.042429073
,2/1/2018,10397.90039,-0.329332892,,,,2/1/2018,75.622498,-0.043049371,,,,2/1/2018,139,-0.023597115,,,,2/1/2018,46.419998,0.01120209,,,,2/1/2018,2.7,-0.02962963,,,,2/1/2018,75.622498,-0.043049371
,3/1/2018,6973.529785,0.325089315,,,,3/1/2018,72.366997,0.082074789,,,,3/1/2018,135.720001,0.004494555,,,,3/1/2018,46.939999,0.128888009,,,,3/1/2018,2.62,0.007633588,,,,3/1/2018,72.366997,0.082074789
,4/1/2018,9240.549805,-0.188990906,,,,4/1/2018,78.306503,0.040539417,,,,4/1/2018,136.330002,0.027213313,,,,4/1/2018,52.990002,-0.061332325,,,,4/1/2018,2.64,0.227272727,,,,4/1/2018,78.306503,0.040539417
,5/1/2018,7494.169922,-0.145469069,,,,5/1/2018,81.481003,0.043065192,,,,5/1/2018,140.039993,0.002784919,,,,5/1/2018,49.740002,-0.09408928,,,,5/1/2018,3.24,-0.030864198,,,,5/1/2018,81.481003,0.043065192
,6/1/2018,6404,0.214934407,,,,6/1/2018,84.989998,0.04567601,,,,6/1/2018,140.429993,0.033183816,,,,6/1/2018,45.060001,-0.058588614,,,,6/1/2018,3.14,-0.01910828,,,,6/1/2018,84.989998,0.04567601
,7/1/2018,7780.439941,-0.095477874,,,,7/1/2018,88.872002,0.132364476,,,,7/1/2018,145.089996,0.0343236,,,,7/1/2018,42.419998,-0.059641658,,,,7/1/2018,3.08,-0.11038961,,,,7/1/2018,88.872002,0.132364476
